#{"t_start": 1637834842.1779103, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.689053
-500.0,500,9.584257
-476.0,477,15.50919
-238.0,239,17.319029
-207.0,208,19.734122
-222.0,223,21.480672
-171.0,172,22.972358
-154.0,155,23.704157
-165.0,166,25.701625
-153.0,154,26.464713
-129.0,130,27.914814
-112.0,113,28.438115
-110.0,111,30.228859
-115.0,116,30.772246
-132.0,133,32.09595
-79.0,80,32.476134
-79.0,80,32.926906
-163.0,164,34.55871
-365.0,366,37.605844
-85.0,86,38.766507
-133.0,134,39.393278
-117.0,118,41.021649
-84.0,85,41.452592
-87.0,88,41.85979
-77.0,78,42.91397
-180.0,181,43.746057
-91.0,92,44.863373
-88.0,89,45.700372
-85.0,86,46.846252
-76.0,77,47.22745
-83.0,84,47.643355
-84.0,85,48.063815
-95.0,96,49.366258
-141.0,142,50.044594
-63.0,64,51.682118
-121.0,122,52.25422
-92.0,93,52.685934
-74.0,75,53.720799
-97.0,98,54.173307
-76.0,77,54.538243
-87.0,88,55.644795
-64.0,65,56.395892
-186.0,187,57.944793
-83.0,84,58.334466
-71.0,72,58.675144
-93.0,94,59.796506
-82.0,83,60.179408
-93.0,94,61.018807
-71.0,72,62.049037
-75.0,76,62.400708
-96.0,97,62.851436
-74.0,75,63.914065
-86.0,87,64.319777
-93.0,94,64.759651
-250.0,251,67.064691
-91.0,92,68.174473
-73.0,74,68.52777
-137.0,138,69.863051
-94.0,95,70.305948
-78.0,79,71.260525
-63.0,64,72.270232
-76.0,77,72.626805
-81.0,82,73.009274
-97.0,98,74.14765
-83.0,84,74.531497
-70.0,71,74.856775
-87.0,88,75.260078
-63.0,64,76.639299
-70.0,71,76.966191
-87.0,88,77.371019
-84.0,85,78.464295
-76.0,77,78.831409
-84.0,85,79.263675
-83.0,84,80.471705
-75.0,76,80.867884
-95.0,96,81.752234
-93.0,94,82.909938
-68.0,69,83.25044
-62.0,63,83.55048
-103.0,104,84.726786
-93.0,94,85.159439
-72.0,73,85.517825
-88.0,89,87.033814
-62.0,63,87.325036
-99.0,100,87.781401
-88.0,89,88.874588
-93.0,94,89.30845
-77.0,78,89.664546
-79.0,80,90.716565
-72.0,73,91.052644
-69.0,70,91.756489
-102.0,103,92.916215
-83.0,84,93.301295
-78.0,79,93.66187
-89.0,90,94.754391
-63.0,64,95.049012
-61.0,62,95.33699
-78.0,79,95.698547
-69.0,70,97.089258
-91.0,92,97.511777
-129.0,130,98.109147
-63.0,64,99.086566
-91.0,92,99.511633
-78.0,79,99.87583
-70.0,71,100.886669
-71.0,72,101.649539
-77.0,78,102.009392
-75.0,76,103.041428
-74.0,75,103.38564
-70.0,71,103.710497
-71.0,72,104.041859
-75.0,76,105.077318
-83.0,84,105.469843
-63.0,64,105.763535
-74.0,75,107.160263
-94.0,95,107.600482
-77.0,78,107.964457
-81.0,82,109.026792
-62.0,63,109.317191
-81.0,82,109.692511
-71.0,72,110.02531
-91.0,92,111.142828
-74.0,75,111.847696
